run,loss_normalization,grpo_step,loss,grad_norm,token_entropy,train_answer_accuracy,train_format_accuracy
masked_mean,masked_mean,1,-0.007447941636200994,0.267578125,0.9270553588867188,0.015625,0.1796875
masked_mean,masked_mean,2,0.010363580309785903,3.34375,0.42478179931640625,0.15234375,0.70703125
masked_mean,masked_mean,3,-0.018369811412412673,1.03125,0.505859375,0.25,0.76171875
masked_mean,masked_mean,4,-0.026548511770670302,0.60546875,0.5037879943847656,0.23828125,0.5859375
masked_mean,masked_mean,5,-0.015379508404294029,0.8125,0.4863624572753906,0.2890625,0.703125
masked_mean,masked_mean,6,-0.038003040666808374,0.671875,0.5236434936523438,0.28125,0.76953125
masked_mean,masked_mean,7,-0.04256187081045937,0.55078125,0.40613555908203125,0.40234375,0.8125
masked_mean,masked_mean,8,-0.029147305453079753,0.76171875,0.4754791259765625,0.3515625,0.85546875
masked_mean,masked_mean,9,-0.032052837719675153,0.94921875,0.443450927734375,0.41015625,0.90625
masked_mean,masked_mean,10,-0.029111439172993414,0.73828125,0.48520660400390625,0.359375,0.88671875
masked_mean,masked_mean,11,-0.046820468342048116,0.890625,0.4799957275390625,0.31640625,0.9140625
masked_mean,masked_mean,12,-0.04214697600400541,1.0234375,0.41040802001953125,0.453125,0.86328125
masked_mean,masked_mean,13,-0.02051015260803979,0.59765625,0.37612152099609375,0.4609375,0.859375
masked_mean,masked_mean,14,-0.012667863935348578,0.6328125,0.38072967529296875,0.35546875,0.7734375
masked_mean,masked_mean,15,-0.02401754773745779,0.478515625,0.377044677734375,0.3046875,0.80078125
masked_mean,masked_mean,16,-0.037414840029668994,0.6015625,0.3164405822753906,0.390625,0.75390625
masked_mean,masked_mean,17,-0.010362970948335715,0.455078125,0.3294410705566406,0.40625,0.84375
masked_mean,masked_mean,18,-0.021681435973732732,0.56640625,0.3009757995605469,0.3515625,0.76171875
masked_mean,masked_mean,19,-0.013999903181684203,0.55859375,0.28816986083984375,0.54296875,0.8515625
masked_mean,masked_mean,20,-0.001303192118939478,0.4609375,0.3032035827636719,0.48828125,0.890625
masked_mean,masked_mean,21,-0.004638732207240537,0.384765625,0.2950859069824219,0.46484375,0.87109375
masked_mean,masked_mean,22,-0.012276903507881798,0.38671875,0.29282379150390625,0.4609375,0.9140625
masked_mean,masked_mean,23,-0.01690735879674321,0.451171875,0.2666740417480469,0.48046875,0.921875
masked_mean,masked_mean,24,-0.01967559618060477,0.330078125,0.26297760009765625,0.4609375,0.89453125
masked_mean,masked_mean,25,-0.016184263498871587,0.341796875,0.2570838928222656,0.48828125,0.9375
masked_mean,masked_mean,26,-0.001841040313593112,0.2890625,0.2799873352050781,0.453125,0.9453125
masked_mean,masked_mean,27,-0.009286391694331542,0.259765625,0.2544288635253906,0.5859375,0.96484375
masked_mean,masked_mean,28,-0.019424547026574146,0.78125,0.26352691650390625,0.57421875,0.953125
