run,phase,role,grpo_step,optimizer_step,rollout_epoch,token_entropy,grad_norm,loss,clip_fraction,approx_kl,rollout_avg_response_token_length,rollout_answer_accuracy,rollout_format_accuracy
on_policy_reference_e1_tb256,focused,on_policy_reference,41,41,1,0.1712474822998047,0.099609375,-0.005559088509471621,,,281.796875,0.69140625,0.9296875
on_policy_reference_e1_tb256,focused,on_policy_reference,42,42,1,0.17356491088867188,0.1025390625,-0.00537966351112118,,,318.1796875,0.6328125,0.921875
on_policy_reference_e1_tb256,focused,on_policy_reference,43,43,1,0.13904762268066406,0.0830078125,-0.0008414216608798597,,,283.59375,0.7109375,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,44,44,1,0.1745014190673828,0.08544921875,-0.004145897033595247,,,282.49609375,0.61328125,0.953125
on_policy_reference_e1_tb256,focused,on_policy_reference,45,45,1,0.15990447998046875,0.10107421875,-0.0042300739769416396,,,343.21875,0.58984375,0.91796875
on_policy_reference_e1_tb256,focused,on_policy_reference,46,46,1,0.1578350067138672,0.07470703125,-0.0006664992179139517,,,308.4375,0.53515625,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,47,47,1,0.15369415283203125,0.1025390625,-0.00249040654671262,,,243.546875,0.6796875,0.98046875
on_policy_reference_e1_tb256,focused,on_policy_reference,48,48,1,0.12807846069335938,0.078125,-0.0023634485187358223,,,369.0,0.58203125,0.91796875
on_policy_reference_e1_tb256,focused,on_policy_reference,49,49,1,0.11904335021972656,0.1259765625,0.00015562348926323466,,,313.46484375,0.609375,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,50,50,1,0.1294403076171875,0.09716796875,-0.0015639297853340395,,,279.98046875,0.72265625,0.98828125
on_policy_reference_e1_tb256,focused,on_policy_reference,51,51,1,0.10453033447265625,0.1484375,-0.0008169331376848277,,,322.16796875,0.6875,0.92578125
on_policy_reference_e1_tb256,focused,on_policy_reference,52,52,1,0.1130828857421875,0.1328125,-0.002193189933677786,,,299.25390625,0.80859375,0.953125
