run,role,learning_rate,epochs_per_rollout_batch,train_batch_size,optimizer_updates_per_rollout_batch,loss_type,status,best_answer_accuracy,best_step,final_answer_accuracy,final_step,final_format_accuracy,final_avg_response_token_length,last_finite_token_entropy,last_finite_grad_norm
on_policy_reference_e1_tb256,on_policy_reference,4e-05,1,256,1,reinforce_with_baseline,completed,0.80078125,95,0.7763671875,200,0.9697265625,332.65234375,0.043761253356933594,32.0
focused_e2_tb256,true_off_policy,4e-05,2,256,2,grpo_clip,late collapse,0.34375,65,0.0,200,0.0,1024.0,0.12430672720074654,28.75
