run,grpo_step,optimizer_step,loss,grad_norm,token_entropy,train_answer_accuracy,train_format_accuracy
final_on_policy_lr4e-5_400_full_eval,1,1,-0.004672280920203775,0.267578125,0.953125,0.01953125,0.19140625
final_on_policy_lr4e-5_400_full_eval,2,2,-0.0365002059697872,1.8515625,0.3616485595703125,0.2421875,0.74609375
final_on_policy_lr4e-5_400_full_eval,3,3,-0.011716750552295707,1.109375,0.24861526489257812,0.1875,0.35546875
final_on_policy_lr4e-5_400_full_eval,4,4,-0.01697107141080778,1.171875,0.24412918090820312,0.36328125,0.8125
final_on_policy_lr4e-5_400_full_eval,5,5,0.01700011417415226,1.28125,0.23243141174316406,0.33984375,0.87890625
final_on_policy_lr4e-5_400_full_eval,6,6,-0.014588141291824286,1.0390625,0.2569694519042969,0.3203125,0.8984375
final_on_policy_lr4e-5_400_full_eval,7,7,-0.007108814155799337,0.86328125,0.19342613220214844,0.53125,0.88671875
final_on_policy_lr4e-5_400_full_eval,8,8,-0.0004531588783720508,0.80859375,0.22599411010742188,0.4296875,0.8828125
final_on_policy_lr4e-5_400_full_eval,9,9,-0.008548952311684843,0.53125,0.19540786743164062,0.4609375,0.875
final_on_policy_lr4e-5_400_full_eval,10,10,-0.00853647998883389,0.5234375,0.23154830932617188,0.55078125,0.9140625
final_on_policy_lr4e-5_400_full_eval,11,11,-0.01734847159241326,0.392578125,0.21163558959960938,0.46875,0.828125
final_on_policy_lr4e-5_400_full_eval,12,12,-0.006009129538142588,0.43359375,0.22446441650390625,0.58203125,0.87109375
final_on_policy_lr4e-5_400_full_eval,13,13,-0.006707463930069935,0.279296875,0.189422607421875,0.62890625,0.85546875
final_on_policy_lr4e-5_400_full_eval,14,14,-0.013604149331513327,0.306640625,0.22076034545898438,0.6171875,0.87890625
final_on_policy_lr4e-5_400_full_eval,15,15,-0.008148804274242138,0.263671875,0.21942520141601562,0.4765625,0.859375
final_on_policy_lr4e-5_400_full_eval,16,16,-0.01209212989488151,0.1865234375,0.20787811279296875,0.578125,0.8984375
final_on_policy_lr4e-5_400_full_eval,17,17,-0.01221742038615048,0.296875,0.19906997680664062,0.56640625,0.9375
final_on_policy_lr4e-5_400_full_eval,18,18,-0.00950352537438448,0.33203125,0.19872665405273438,0.49609375,0.80859375
final_on_policy_lr4e-5_400_full_eval,19,19,-0.006843231789389392,0.2890625,0.16168212890625,0.734375,0.92578125
final_on_policy_lr4e-5_400_full_eval,20,20,-0.0033451411363785155,0.333984375,0.1668233871459961,0.56640625,0.9765625
final_on_policy_lr4e-5_400_full_eval,21,21,-0.00664904949371703,0.271484375,0.1806640625,0.6171875,0.9375
final_on_policy_lr4e-5_400_full_eval,22,22,-0.016288561404508073,0.27734375,0.18114471435546875,0.59375,0.90625
final_on_policy_lr4e-5_400_full_eval,23,23,-0.009742424477735767,0.4453125,0.16732406616210938,0.640625,0.96484375
