run,grpo_step,answer_accuracy,format_accuracy,avg_response_token_length,rollout_seconds
final_on_policy_lr4e-5_400_full_eval,58,0.72265625,0.8984375,383.11328125,11.522149324417114
final_on_policy_lr4e-5_400_full_eval,59,0.7734375,0.97265625,353.1953125,9.848389625549316
final_on_policy_lr4e-5_400_full_eval,60,0.5859375,0.9453125,386.2734375,10.78392505645752
final_on_policy_lr4e-5_400_full_eval,61,0.80078125,0.95703125,348.484375,10.003656387329102
final_on_policy_lr4e-5_400_full_eval,62,0.75390625,0.95703125,355.52734375,10.069636344909668
final_on_policy_lr4e-5_400_full_eval,63,0.75390625,0.9609375,325.984375,9.305754899978638
final_on_policy_lr4e-5_400_full_eval,64,0.60546875,0.9296875,386.23046875,10.612458229064941
final_on_policy_lr4e-5_400_full_eval,65,0.765625,0.97265625,354.39453125,9.8776535987854
final_on_policy_lr4e-5_400_full_eval,66,0.76953125,0.98046875,348.2109375,10.214021682739258
final_on_policy_lr4e-5_400_full_eval,67,0.609375,0.91796875,427.671875,11.130937576293945
final_on_policy_lr4e-5_400_full_eval,68,0.671875,0.95703125,372.1953125,10.468939065933228
final_on_policy_lr4e-5_400_full_eval,69,0.77734375,0.9765625,332.5546875,9.402105331420898
final_on_policy_lr4e-5_400_full_eval,70,0.75,0.9765625,351.5703125,9.689201354980469
final_on_policy_lr4e-5_400_full_eval,71,0.47265625,0.89453125,449.12890625,11.893318176269531
final_on_policy_lr4e-5_400_full_eval,72,0.73828125,0.94140625,338.73828125,9.818346500396729
final_on_policy_lr4e-5_400_full_eval,73,0.7109375,0.9453125,362.265625,15.761908054351807
final_on_policy_lr4e-5_400_full_eval,74,0.7421875,0.953125,373.52734375,10.419985294342041
final_on_policy_lr4e-5_400_full_eval,75,0.79296875,0.96875,391.9453125,10.414880990982056
final_on_policy_lr4e-5_400_full_eval,76,0.7265625,0.9453125,368.53515625,10.092575788497925
final_on_policy_lr4e-5_400_full_eval,77,0.6484375,0.8828125,465.9296875,11.944325685501099
final_on_policy_lr4e-5_400_full_eval,78,0.76171875,0.953125,378.11328125,19.117758989334106
final_on_policy_lr4e-5_400_full_eval,79,0.73046875,0.9609375,354.27734375,9.698349475860596
final_on_policy_lr4e-5_400_full_eval,80,0.75390625,0.96875,341.66015625,9.57547926902771
final_on_policy_lr4e-5_400_full_eval,81,0.7421875,0.93359375,358.97265625,11.006122350692749
final_on_policy_lr4e-5_400_full_eval,82,0.77734375,0.9609375,370.6875,18.034226417541504
final_on_policy_lr4e-5_400_full_eval,83,0.76953125,0.92578125,387.5390625,10.665352582931519
final_on_policy_lr4e-5_400_full_eval,84,0.5546875,0.8671875,466.015625,12.225707292556763
final_on_policy_lr4e-5_400_full_eval,85,0.69140625,0.94921875,403.4296875,10.814781188964844
final_on_policy_lr4e-5_400_full_eval,86,0.71875,0.9375,409.1796875,10.685280799865723
final_on_policy_lr4e-5_400_full_eval,87,0.8515625,0.96875,332.36328125,9.422768831253052
final_on_policy_lr4e-5_400_full_eval,88,0.6796875,0.91015625,428.8125,17.993046283721924
final_on_policy_lr4e-5_400_full_eval,89,0.78515625,0.91015625,380.71875,10.847485542297363
final_on_policy_lr4e-5_400_full_eval,90,0.8671875,0.97265625,354.50390625,9.810237169265747
final_on_policy_lr4e-5_400_full_eval,91,0.6640625,0.8515625,467.09765625,12.749714612960815
final_on_policy_lr4e-5_400_full_eval,92,0.62890625,0.875,485.87109375,14.34276556968689
final_on_policy_lr4e-5_400_full_eval,93,0.75,0.90625,420.86328125,11.31203842163086
final_on_policy_lr4e-5_400_full_eval,94,0.78515625,0.90234375,400.3359375,10.65248727798462
final_on_policy_lr4e-5_400_full_eval,95,0.77734375,0.94921875,377.46875,10.50475025177002
final_on_policy_lr4e-5_400_full_eval,96,0.7578125,0.91015625,417.9609375,10.875322818756104
final_on_policy_lr4e-5_400_full_eval,97,0.69140625,0.9140625,441.5234375,11.795279741287231
final_on_policy_lr4e-5_400_full_eval,98,0.6953125,0.9296875,445.4375,11.28812026977539
final_on_policy_lr4e-5_400_full_eval,99,0.67578125,0.8828125,445.19921875,11.179963111877441
final_on_policy_lr4e-5_400_full_eval,100,0.7265625,0.93359375,424.1015625,10.896804094314575
final_on_policy_lr4e-5_400_full_eval,101,0.61328125,0.875,486.296875,22.72762894630432
final_on_policy_lr4e-5_400_full_eval,102,0.71875,0.96484375,348.96484375,9.728415966033936
final_on_policy_lr4e-5_400_full_eval,103,0.74609375,0.9765625,346.8359375,9.723158359527588
final_on_policy_lr4e-5_400_full_eval,104,0.8203125,0.9453125,385.2265625,10.417498111724854
final_on_policy_lr4e-5_400_full_eval,105,0.77734375,0.9375,393.3359375,10.75413990020752
final_on_policy_lr4e-5_400_full_eval,106,0.7421875,0.95703125,375.4140625,10.149021863937378
final_on_policy_lr4e-5_400_full_eval,107,0.7109375,0.88671875,389.13671875,10.547759771347046
final_on_policy_lr4e-5_400_full_eval,108,0.62890625,0.8984375,453.5234375,11.612332820892334
final_on_policy_lr4e-5_400_full_eval,109,0.625,0.92578125,405.87890625,11.186824798583984
final_on_policy_lr4e-5_400_full_eval,110,0.7890625,0.95703125,374.6875,10.11261773109436
final_on_policy_lr4e-5_400_full_eval,111,0.61328125,0.91015625,501.8828125,12.92247986793518
final_on_policy_lr4e-5_400_full_eval,112,0.71484375,0.90234375,430.23828125,11.012366533279419
final_on_policy_lr4e-5_400_full_eval,113,0.71875,0.95703125,353.98828125,9.691424131393433
final_on_policy_lr4e-5_400_full_eval,114,0.71875,0.92578125,387.59375,10.533436059951782
final_on_policy_lr4e-5_400_full_eval,115,0.73828125,0.9765625,365.78515625,10.421290397644043
final_on_policy_lr4e-5_400_full_eval,116,0.625,0.90625,420.2890625,10.992631673812866
final_on_policy_lr4e-5_400_full_eval,117,0.75390625,0.94140625,341.3046875,9.732011079788208
final_on_policy_lr4e-5_400_full_eval,118,0.70703125,0.9296875,357.91015625,9.919657707214355
final_on_policy_lr4e-5_400_full_eval,119,0.7890625,0.921875,409.9765625,10.667856454849243
final_on_policy_lr4e-5_400_full_eval,120,0.5625,0.95703125,383.44921875,10.300008058547974
final_on_policy_lr4e-5_400_full_eval,121,0.765625,0.93359375,404.05859375,10.849859952926636
final_on_policy_lr4e-5_400_full_eval,122,0.5859375,0.86328125,502.8828125,12.639616012573242
final_on_policy_lr4e-5_400_full_eval,123,0.6484375,0.859375,435.2265625,11.494576692581177
final_on_policy_lr4e-5_400_full_eval,124,0.8828125,0.99609375,314.54296875,9.19588017463684
final_on_policy_lr4e-5_400_full_eval,125,0.77734375,0.94140625,387.0078125,10.312360763549805
final_on_policy_lr4e-5_400_full_eval,126,0.7421875,0.9296875,389.34375,10.455878019332886
final_on_policy_lr4e-5_400_full_eval,127,0.73046875,0.9296875,379.421875,10.320023536682129
final_on_policy_lr4e-5_400_full_eval,128,0.734375,0.93359375,418.15234375,10.914317607879639
final_on_policy_lr4e-5_400_full_eval,129,0.75390625,0.94921875,372.84765625,9.983641862869263
final_on_policy_lr4e-5_400_full_eval,130,0.7578125,0.953125,364.40625,9.905503988265991
final_on_policy_lr4e-5_400_full_eval,131,0.70703125,0.91796875,376.671875,10.141845226287842
final_on_policy_lr4e-5_400_full_eval,132,0.76953125,0.9140625,378.71484375,10.137863636016846
final_on_policy_lr4e-5_400_full_eval,133,0.73046875,0.96875,366.84375,10.006273746490479
final_on_policy_lr4e-5_400_full_eval,134,0.67578125,0.953125,367.5625,9.922926664352417
final_on_policy_lr4e-5_400_full_eval,135,0.8515625,0.96484375,347.0078125,9.554384469985962
final_on_policy_lr4e-5_400_full_eval,136,0.859375,0.95703125,370.0546875,19.565371990203857
final_on_policy_lr4e-5_400_full_eval,137,0.73828125,0.93359375,333.2890625,9.388249397277832
final_on_policy_lr4e-5_400_full_eval,138,0.8125,0.9296875,364.46484375,9.81121039390564
final_on_policy_lr4e-5_400_full_eval,139,0.8046875,0.98046875,312.7109375,8.972509622573853
final_on_policy_lr4e-5_400_full_eval,140,0.59375,0.9296875,429.15234375,11.27072262763977
final_on_policy_lr4e-5_400_full_eval,141,0.72265625,0.9296875,357.7421875,9.965554237365723
final_on_policy_lr4e-5_400_full_eval,142,0.72265625,0.91796875,367.41796875,10.15475082397461
final_on_policy_lr4e-5_400_full_eval,143,0.828125,0.94921875,334.63671875,9.703793287277222
final_on_policy_lr4e-5_400_full_eval,144,0.65625,0.953125,430.484375,11.698562145233154
final_on_policy_lr4e-5_400_full_eval,145,0.71484375,0.95703125,374.046875,10.275115728378296
final_on_policy_lr4e-5_400_full_eval,146,0.70703125,0.953125,380.0,10.138139009475708
final_on_policy_lr4e-5_400_full_eval,147,0.69921875,0.9609375,404.80078125,10.544263362884521
final_on_policy_lr4e-5_400_full_eval,148,0.75,0.9140625,429.33203125,10.888596057891846
final_on_policy_lr4e-5_400_full_eval,149,0.69921875,0.9140625,442.15234375,11.153519868850708
final_on_policy_lr4e-5_400_full_eval,150,0.7265625,0.9375,437.765625,22.006582021713257
final_on_policy_lr4e-5_400_full_eval,151,0.77734375,0.9609375,437.15234375,12.10333514213562
final_on_policy_lr4e-5_400_full_eval,152,0.7265625,0.94140625,430.5234375,11.442598581314087
final_on_policy_lr4e-5_400_full_eval,153,0.83203125,0.96484375,361.77734375,9.972360610961914
final_on_policy_lr4e-5_400_full_eval,154,0.8125,0.93359375,417.8125,11.364171028137207
final_on_policy_lr4e-5_400_full_eval,155,0.7421875,0.96484375,383.8984375,10.27673053741455
final_on_policy_lr4e-5_400_full_eval,156,0.8515625,0.98046875,338.94140625,9.569621562957764
final_on_policy_lr4e-5_400_full_eval,157,0.69921875,0.91015625,509.48046875,12.665969848632812
final_on_policy_lr4e-5_400_full_eval,158,0.7890625,0.90625,405.6015625,10.629275798797607
final_on_policy_lr4e-5_400_full_eval,159,0.59765625,0.859375,528.69921875,13.128466844558716
final_on_policy_lr4e-5_400_full_eval,160,0.625,0.87109375,540.86328125,24.838782787322998
final_on_policy_lr4e-5_400_full_eval,161,0.74609375,0.90234375,487.4609375,12.961711883544922
final_on_policy_lr4e-5_400_full_eval,162,0.8671875,0.984375,395.05859375,10.731427669525146
final_on_policy_lr4e-5_400_full_eval,163,0.7890625,0.87109375,421.00390625,23.068708419799805
final_on_policy_lr4e-5_400_full_eval,164,0.65234375,0.8359375,492.546875,12.114136934280396
final_on_policy_lr4e-5_400_full_eval,165,0.6796875,0.8984375,444.25,11.320348262786865
final_on_policy_lr4e-5_400_full_eval,166,0.828125,0.9375,412.546875,10.781448364257812
final_on_policy_lr4e-5_400_full_eval,167,0.8046875,0.94921875,451.2578125,11.60167407989502
final_on_policy_lr4e-5_400_full_eval,168,0.734375,0.9453125,392.5703125,10.499983787536621
final_on_policy_lr4e-5_400_full_eval,169,0.76171875,0.953125,422.47265625,10.88792085647583
final_on_policy_lr4e-5_400_full_eval,170,0.765625,0.89453125,454.3984375,11.332400798797607
final_on_policy_lr4e-5_400_full_eval,171,0.8203125,0.93359375,437.83203125,11.067566633224487
