run,grpo_step,optimizer_step,step_seconds,elapsed_step_seconds,elapsed_step_hours,best_answer_accuracy_so_far
final_on_policy_lr4e-5_400_full_eval,1,1,24.54163432121277,24.54163432121277,0.006817120644781325,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,2,2,24.905044555664062,49.44667887687683,0.01373518857691023,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,3,3,23.856749534606934,73.30342841148376,0.02036206344763438,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,4,4,25.050769090652466,98.35419750213623,0.027320610417260065,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,5,5,22.216819524765015,120.57101702690125,0.03349194917413924,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,6,6,25.775917530059814,146.34693455696106,0.040651926265822515,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,7,7,21.320131540298462,167.66706609725952,0.04657418502701653,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,8,8,24.235678911209106,191.90274500846863,0.053306318057907955,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,9,9,24.12983250617981,216.03257751464844,0.060009049309624564,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,10,10,24.080487966537476,240.1130654811859,0.06669807374477386,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,11,11,25.674567461013794,265.7876329421997,0.07382989803949992,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,12,12,22.260197162628174,288.0478301048279,0.08001328614022997,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,13,13,26.061089515686035,314.1089196205139,0.08725247767236498,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,14,14,23.487500190734863,337.5964198112488,0.09377678328090244,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,15,15,25.61422371864319,363.21064352989197,0.10089184542497,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,16,16,25.112085342407227,388.3227288722992,0.10786742468674977,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,17,17,36.88971018791199,425.2124390602112,0.11811456640561421,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,18,18,23.286751985549927,448.4991910457611,0.12458310862382253,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,19,19,25.326953887939453,473.82614493370056,0.1316183735926946,0.02938418255704908
final_on_policy_lr4e-5_400_full_eval,20,20,157.94321656227112,631.7693614959717,0.1754914893044366,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,21,21,25.15788221359253,656.9272437095642,0.1824797899193234,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,22,22,28.960486888885498,685.8877305984497,0.19052436961068048,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,23,23,24.746898412704468,710.6346290111542,0.19739850805865394,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,24,24,35.991464376449585,746.6260933876038,0.20739613705211216,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,25,25,26.65877413749695,773.2848675251007,0.21480135209030576,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,26,26,24.496774435043335,797.781641960144,0.22160601165559557,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,27,27,24.082223653793335,821.8638656139374,0.22829551822609373,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,28,28,26.387959003448486,848.2518246173859,0.23562550683816275,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,29,29,25.326539754867554,873.5783643722534,0.2426606567700704,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,30,30,24.723748922348022,898.3021132946014,0.24952836480405596,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,31,31,26.549012660980225,924.8511259555817,0.25690309054321714,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,32,32,23.364570379257202,948.2156963348389,0.2633932489818997,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,33,33,23.42324948310852,971.6389458179474,0.26989970717165207,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,34,34,26.047666549682617,997.68661236763,0.27713517010211947,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,35,35,23.90126395225525,1021.5878763198853,0.283774410088857,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,36,36,36.66178917884827,1058.2496654987335,0.29395824041631485,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,37,37,27.91843342781067,1086.1680989265442,0.30171336081292893,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,38,38,36.461318016052246,1122.6294169425964,0.3118415047062768,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,39,39,25.329027891159058,1147.9584448337555,0.3188773457871543,0.6023757424195061
final_on_policy_lr4e-5_400_full_eval,40,40,189.09509301185608,1337.0535378456116,0.3714037605126699,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,41,41,24.554551601409912,1361.6080894470215,0.3782244692908393,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,42,42,25.634889125823975,1387.2429785728455,0.3853452718257904,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,43,43,24.776527881622314,1412.0195064544678,0.3922276406817966,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,44,44,29.67718529701233,1441.69669175148,0.4004713032643,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,45,45,25.657567262649536,1467.3542590141296,0.40759840528170266,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,46,46,26.945528507232666,1494.2997875213623,0.4150832743114895,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,47,47,29.784371614456177,1524.0841591358185,0.4233567108710607,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,48,48,28.19144058227539,1552.2755997180939,0.4311876665883594,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,49,49,26.518031358718872,1578.7936310768127,0.43855378641022574,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,50,50,25.175764799118042,1603.9693958759308,0.44554705440998077,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,51,51,40.04323887825012,1644.012634754181,0.4566701763206058,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,52,52,25.410022497177124,1669.422657251358,0.463728515903155,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,53,53,25.394951820373535,1694.8176090717316,0.4707826691865921,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,54,54,35.977055072784424,1730.794664144516,0.4807762955956989,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,55,55,25.127557516098022,1755.922221660614,0.4877561726835039,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,56,56,65.45553970336914,1821.3777613639832,0.5059382670455509,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,57,57,38.98529100418091,1860.363052368164,0.5167675145467122,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,58,58,27.974966287612915,1888.338018655777,0.5245383385154936,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,59,59,25.10120677947998,1913.439225435257,0.5315108959542381,0.6670834635823695
final_on_policy_lr4e-5_400_full_eval,60,60,199.45646047592163,2112.8956859111786,0.5869154683086607,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,61,61,26.52370548248291,2139.4193913936615,0.5942831642760171,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,62,62,31.036810159683228,2170.4562015533447,0.6029045004314847,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,63,63,24.825671911239624,2195.2818734645844,0.609800520406829,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,64,64,37.209633588790894,2232.4915070533752,0.6201365297370487,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,65,65,25.036301136016846,2257.527808189392,0.6270910578303867,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,66,66,25.503732681274414,2283.0315408706665,0.6341754280196296,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,67,67,32.269986391067505,2315.301527261734,0.6431393131282594,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,68,68,26.146925687789917,2341.448452949524,0.6504023480415344,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,69,69,24.772305011749268,2366.220757961273,0.6572835438781315,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,70,70,24.832693099975586,2391.053451061249,0.6641815141836802,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,71,71,38.531145334243774,2429.5845963954926,0.674884610109859,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,72,72,36.536333084106445,2466.120929479599,0.6850335915221109,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,73,73,42.50529336929321,2508.626222848892,0.6968406174580256,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,74,74,25.835637092590332,2534.4618599414825,0.7040171833170785,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,75,75,25.311144828796387,2559.773004770279,0.711048056880633,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,76,76,26.453866720199585,2586.2268714904785,0.7183963531917996,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,77,77,38.77055764198303,2624.9974291324615,0.7291659525367948,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,78,78,35.541651248931885,2660.5390803813934,0.739038633439276,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,79,79,25.20547842979431,2685.7445588111877,0.74604015522533,0.6798999687402313
final_on_policy_lr4e-5_400_full_eval,80,80,204.05270838737488,2889.7972671985626,0.8027214631107118,0.7036573929352923
final_on_policy_lr4e-5_400_full_eval,81,81,26.400919198989868,2916.1981863975525,0.8100550517770979,0.7036573929352923
final_on_policy_lr4e-5_400_full_eval,82,82,33.86431527137756,2950.06250166893,0.8194618060191472,0.7036573929352923
final_on_policy_lr4e-5_400_full_eval,83,83,27.181739568710327,2977.2442412376404,0.8270122892326779,0.7036573929352923
final_on_policy_lr4e-5_400_full_eval,84,84,27.74464726448059,3004.988888502121,0.8347191356950336,0.7036573929352923
final_on_policy_lr4e-5_400_full_eval,85,85,25.948972702026367,3030.9378612041473,0.8419271836678187,0.7036573929352923
final_on_policy_lr4e-5_400_full_eval,86,86,37.346213817596436,3068.284075021744,0.8523011319504844,0.7036573929352923
