run,phase,role,grpo_step,optimizer_step,rollout_epoch,token_entropy,grad_norm,loss,clip_fraction,approx_kl,rollout_avg_response_token_length,rollout_answer_accuracy,rollout_format_accuracy
broad_e2_tb256,broad,true_off_policy,1,2,2,0.6857376098632812,0.314453125,0.0030600795289501548,0.2582681132480502,0.30657052993774414,304.609375,0.015625,0.1796875
broad_e2_tb256,broad,true_off_policy,2,4,2,0.5607757568359375,3.828125,0.015159966773353517,0.2298660343294614,0.21156982332468033,123.96484375,0.10546875,0.8125
broad_e2_tb256,broad,true_off_policy,3,6,2,0.650238037109375,1.375,0.004514009109698236,0.16343097219214542,0.06840336322784424,177.03515625,0.1328125,0.70703125
broad_e2_tb256,broad,true_off_policy,4,8,2,0.5096817016601562,0.796875,-0.005067186197265983,0.11832871210208395,0.033197738230228424,186.31640625,0.11328125,0.734375
broad_e2_tb256,broad,true_off_policy,5,10,2,0.49221038818359375,1.59375,-0.0019419471500441432,0.10315492916561197,0.02204282581806183,174.65234375,0.171875,0.84375
broad_e2_tb256,broad,true_off_policy,6,12,2,0.4220428466796875,1.1015625,-0.0027083450695499778,0.0732683319579337,0.011947520077228546,185.4921875,0.28125,0.88671875
broad_e2_tb256,broad,true_off_policy,7,14,2,0.411041259765625,1.40625,-0.007631530868820846,0.06800424423636287,0.012459702789783478,177.26953125,0.28515625,0.8671875
broad_e2_tb256,broad,true_off_policy,8,16,2,0.38134002685546875,0.86328125,-0.006186807411722839,0.06351638733758591,0.012164108455181122,182.13671875,0.2578125,0.8828125
broad_e2_tb256,broad,true_off_policy,9,18,2,0.38318634033203125,0.796875,-0.006049463991075754,0.05088788761622709,0.013100855052471161,169.1171875,0.29296875,0.921875
broad_e2_tb256,broad,true_off_policy,10,20,2,0.30823516845703125,0.58984375,-0.0056353004183620214,0.031087034584743378,0.007865272462368011,206.04296875,0.37890625,0.8515625
broad_e2_tb256,broad,true_off_policy,11,22,2,0.3638153076171875,0.5703125,-0.005963281728327274,0.02862166341583361,0.004233270883560181,209.55859375,0.33203125,0.82421875
broad_e2_tb256,broad,true_off_policy,12,24,2,0.343109130859375,0.6328125,-0.004543102812021971,0.03488184713296505,0.006315518170595169,212.41796875,0.2734375,0.8671875
broad_e2_tb256,broad,true_off_policy,13,26,2,0.3554039001464844,0.404296875,-0.0035750280367210507,0.023870751913818822,0.006414338946342468,218.1875,0.26171875,0.8046875
broad_e2_tb256,broad,true_off_policy,14,28,2,0.30832672119140625,0.45703125,-0.004953236319124699,0.02002496224577044,0.0047605931758880615,232.02734375,0.29296875,0.83203125
broad_e2_tb256,broad,true_off_policy,15,30,2,0.2947502136230469,0.52734375,-0.004815558553673327,0.01855376195453573,-0.0003643445670604706,232.33203125,0.390625,0.828125
broad_e2_tb256,broad,true_off_policy,16,32,2,0.3073692321777344,0.4296875,-0.004909006063826382,0.021324672788978205,0.0031933411955833435,210.453125,0.37890625,0.8984375
broad_e2_tb256,broad,true_off_policy,17,34,2,0.3193511962890625,0.419921875,-0.004019640968181193,0.02537603622295137,0.0033089853823184967,231.078125,0.3515625,0.89453125
broad_e2_tb256,broad,true_off_policy,18,36,2,0.3012237548828125,0.435546875,-0.003969531389884651,0.018408951588753553,0.0022692009806632996,226.08984375,0.4453125,0.90234375
broad_e2_tb256,broad,true_off_policy,19,38,2,0.30234527587890625,0.423828125,-0.004069027840159833,0.022222100778890308,0.004938695579767227,239.33203125,0.26953125,0.875
broad_e2_tb256,broad,true_off_policy,20,40,2,0.23879051208496094,0.47265625,-0.003499224199913442,0.018959991620704386,0.0039911288768053055,242.28125,0.35546875,0.88671875
broad_e2_tb256,broad,true_off_policy,21,42,2,0.2658653259277344,0.53125,-0.003336483845487237,0.02243732376200569,0.004797004163265228,234.2421875,0.4140625,0.91796875
broad_e2_tb256,broad,true_off_policy,22,44,2,0.2706642150878906,0.375,-0.0036712437868118286,0.019039562966554513,0.003396071493625641,219.11328125,0.4296875,0.8984375
broad_e2_tb256,broad,true_off_policy,23,46,2,0.26650238037109375,0.435546875,-0.003062465460970998,0.01921577322536905,0.004979074001312256,253.484375,0.3828125,0.89453125
broad_e2_tb256,broad,true_off_policy,24,48,2,0.2340240478515625,0.4375,-0.0034190566511824727,0.021935113731160527,0.009192939847707748,205.28515625,0.51171875,0.9375
broad_e2_tb256,broad,true_off_policy,25,50,2,0.21253204345703125,74.5,0.06914317922201008,0.027479221502289874,-0.003774333745241165,209.05859375,0.46484375,0.89453125
broad_e2_tb256,broad,true_off_policy,26,52,2,0.20859527587890625,0.30859375,-0.001235087518580258,0.019804096481493616,0.02312161773443222,221.40234375,0.53125,0.92578125
broad_e2_tb256,broad,true_off_policy,27,54,2,0.20444869995117188,0.287109375,-0.0012426282046362758,0.011908949200005736,0.008920673280954361,290.1015625,0.49609375,0.8671875
broad_e2_tb256,broad,true_off_policy,28,56,2,0.20020294189453125,1.171875,-0.0014304929645732045,0.015654168120818213,-0.0006239861249923706,266.03125,0.4765625,0.90625
broad_e2_tb256,broad,true_off_policy,29,58,2,0.2134571075439453,0.298828125,-0.0020654776599258184,0.01804387718811995,0.0075356438755989075,241.9921875,0.5234375,0.91796875
broad_e2_tb256,broad,true_off_policy,30,60,2,0.20370864868164062,0.859375,-0.001560647040605545,0.016554982169509458,-0.00024654343724250793,284.95703125,0.5234375,0.84765625
broad_e2_tb256,broad,true_off_policy,31,62,2,0.19134521484375,0.294921875,-0.0012283104006201029,0.013152353526493243,0.009618125855922699,319.27734375,0.43359375,0.85546875
broad_e2_tb256,broad,true_off_policy,32,64,2,0.1903839111328125,0.296875,-0.0009711557067930698,0.013738840231781069,0.005233103409409523,300.05078125,0.43359375,0.87109375
broad_e2_tb256,broad,true_off_policy,33,66,2,0.19397544860839844,0.2412109375,-0.0005222714971750975,0.009613275658011844,6.261095404624939e-05,281.07421875,0.61328125,0.91015625
broad_e2_tb256,broad,true_off_policy,34,68,2,0.20409202575683594,0.271484375,-0.0011096164816990495,0.011309410274861875,0.00026655569672584534,245.41015625,0.66015625,0.921875
broad_e2_tb256,broad,true_off_policy,35,70,2,0.20372390747070312,0.267578125,-0.0016096938634291291,0.010491549399375799,0.00150362029671669,271.6796875,0.64453125,0.93359375
