run,role,learning_rate,epochs_per_rollout_batch,train_batch_size,optimizer_updates_per_rollout_batch,loss_type,status,best_answer_accuracy,best_step,final_answer_accuracy,final_step,final_format_accuracy,final_avg_response_token_length,last_finite_token_entropy,last_finite_grad_norm
on_policy_reference_e1_tb256_std_norm,on_policy_reference,4e-05,1,256,1,reinforce_with_baseline,completed,0.8818359375,190,0.8818359375,200,0.98046875,466.91796875,0.023288726806640625,0.1357421875
focused_e2_tb256,true_off_policy,4e-05,2,256,2,grpo_clip,completed,0.86328125,145,0.8232421875,200,0.9814453125,474.78125,0.0329442024230957,0.0908203125
focused_e2_tb128,true_off_policy,4e-05,2,128,4,grpo_clip,completed,0.861328125,120,0.8564453125,200,0.966796875,547.3671875,0.027608871459960938,0.1494140625
focused_e4_tb256,true_off_policy,4e-05,4,256,4,grpo_clip,completed,0.8642578125,145,0.822265625,200,0.970703125,437.87109375,0.027335166931152344,0.04150390625
