run,use_std_normalization,grpo_step,rollout_answer_accuracy,rollout_format_accuracy,avg_response_token_length
std_normalization,True,117,0.7109375,0.9140625,261.77734375
std_normalization,True,118,0.66015625,0.90625,269.13671875
std_normalization,True,119,0.70703125,0.90234375,275.09765625
std_normalization,True,120,0.53125,0.8828125,292.4609375
std_normalization,True,121,0.64453125,0.88671875,301.91015625
std_normalization,True,122,0.43359375,0.828125,389.4765625
std_normalization,True,123,0.71484375,0.91015625,280.84765625
std_normalization,True,124,0.78515625,0.93359375,233.50390625
std_normalization,True,125,0.640625,0.91796875,265.734375
std_normalization,True,126,0.6796875,0.8828125,292.19921875
std_normalization,True,127,0.6875,0.8984375,291.5390625
std_normalization,True,128,0.7109375,0.8984375,310.578125
std_normalization,True,129,0.69921875,0.94140625,243.875
std_normalization,True,130,0.7109375,0.91796875,276.1328125
std_normalization,True,131,0.64453125,0.8828125,291.16015625
std_normalization,True,132,0.640625,0.87109375,321.140625
std_normalization,True,133,0.6171875,0.83984375,323.984375
std_normalization,True,134,0.54296875,0.84765625,308.8984375
std_normalization,True,135,0.75390625,0.88671875,273.78125
std_normalization,True,136,0.70703125,0.89453125,293.921875
std_normalization,True,137,0.6171875,0.8671875,292.375
std_normalization,True,138,0.76171875,0.90625,257.2109375
std_normalization,True,139,0.71875,0.87890625,279.9765625
std_normalization,True,140,0.515625,0.828125,357.2890625
std_normalization,True,141,0.72265625,0.875,289.16796875
std_normalization,True,142,0.69921875,0.84765625,308.8984375
std_normalization,True,143,0.76171875,0.87109375,274.921875
std_normalization,True,144,0.59765625,0.84765625,353.3515625
std_normalization,True,145,0.60546875,0.8671875,313.8203125
std_normalization,True,146,0.59765625,0.88671875,281.8984375
std_normalization,True,147,0.640625,0.86328125,288.41015625
std_normalization,True,148,0.65625,0.81640625,337.44921875
std_normalization,True,149,0.515625,0.74609375,382.5859375
std_normalization,True,150,0.6015625,0.8515625,301.6171875
std_normalization,True,151,0.53125,0.81640625,347.67578125
std_normalization,True,152,0.515625,0.734375,397.6015625
std_normalization,True,153,0.66796875,0.81640625,293.6796875
std_normalization,True,154,0.58984375,0.72265625,357.7421875
std_normalization,True,155,0.61328125,0.7890625,337.875
std_normalization,True,156,0.6171875,0.73828125,367.01953125
std_normalization,True,157,0.49609375,0.67578125,449.48828125
std_normalization,True,158,0.63671875,0.7421875,383.4140625
std_normalization,True,159,0.51171875,0.7109375,429.40234375
std_normalization,True,160,0.44921875,0.68359375,471.32421875
std_normalization,True,161,0.6328125,0.8046875,377.8984375
std_normalization,True,162,0.671875,0.8359375,326.9609375
std_normalization,True,163,0.75,0.86328125,312.23046875
std_normalization,True,164,0.58984375,0.7578125,388.73046875
std_normalization,True,165,0.62109375,0.75390625,384.36328125
std_normalization,True,166,0.703125,0.83984375,330.70703125
std_normalization,True,167,0.65625,0.7734375,372.8515625
std_normalization,True,168,0.6015625,0.7734375,364.6171875
std_normalization,True,169,0.609375,0.7890625,367.03125
std_normalization,True,170,0.62109375,0.7578125,383.8828125
