run,use_std_normalization,grpo_step,loss,grad_norm,token_entropy,train_answer_accuracy,train_format_accuracy
std_normalization,True,1,-0.007447941636200994,0.267578125,0.9270553588867188,0.015625,0.1796875
std_normalization,True,2,0.010363580309785903,3.34375,0.42478179931640625,0.15234375,0.70703125
std_normalization,True,3,-0.018369811412412673,1.03125,0.505859375,0.25,0.76171875
std_normalization,True,4,-0.026548511770670302,0.60546875,0.5037879943847656,0.23828125,0.5859375
std_normalization,True,5,-0.015379508404294029,0.8125,0.4863624572753906,0.2890625,0.703125
std_normalization,True,6,-0.038003040666808374,0.671875,0.5236434936523438,0.28125,0.76953125
std_normalization,True,7,-0.04256187081045937,0.55078125,0.40613555908203125,0.40234375,0.8125
std_normalization,True,8,-0.029147305453079753,0.76171875,0.4754791259765625,0.3515625,0.85546875
std_normalization,True,9,-0.032052837719675153,0.94921875,0.443450927734375,0.41015625,0.90625
std_normalization,True,10,-0.029111439172993414,0.73828125,0.48520660400390625,0.359375,0.88671875
std_normalization,True,11,-0.046820468342048116,0.890625,0.4799957275390625,0.31640625,0.9140625
std_normalization,True,12,-0.04214697600400541,1.0234375,0.41040802001953125,0.453125,0.86328125
std_normalization,True,13,-0.02051015260803979,0.59765625,0.37612152099609375,0.4609375,0.859375
std_normalization,True,14,-0.012667863935348578,0.6328125,0.38072967529296875,0.35546875,0.7734375
std_normalization,True,15,-0.02401754773745779,0.478515625,0.377044677734375,0.3046875,0.80078125
std_normalization,True,16,-0.037414840029668994,0.6015625,0.3164405822753906,0.390625,0.75390625
std_normalization,True,17,-0.010362970948335715,0.455078125,0.3294410705566406,0.40625,0.84375
std_normalization,True,18,-0.021681435973732732,0.56640625,0.3009757995605469,0.3515625,0.76171875
std_normalization,True,19,-0.013999903181684203,0.55859375,0.28816986083984375,0.54296875,0.8515625
std_normalization,True,20,-0.001303192118939478,0.4609375,0.3032035827636719,0.48828125,0.890625
std_normalization,True,21,-0.004638732207240537,0.384765625,0.2950859069824219,0.46484375,0.87109375
std_normalization,True,22,-0.012276903507881798,0.38671875,0.29282379150390625,0.4609375,0.9140625
std_normalization,True,23,-0.01690735879674321,0.451171875,0.2666740417480469,0.48046875,0.921875
std_normalization,True,24,-0.01967559618060477,0.330078125,0.26297760009765625,0.4609375,0.89453125
std_normalization,True,25,-0.016184263498871587,0.341796875,0.2570838928222656,0.48828125,0.9375
std_normalization,True,26,-0.001841040313593112,0.2890625,0.2799873352050781,0.453125,0.9453125
std_normalization,True,27,-0.009286391694331542,0.259765625,0.2544288635253906,0.5859375,0.96484375
std_normalization,True,28,-0.019424547026574146,0.78125,0.26352691650390625,0.57421875,0.953125
std_normalization,True,29,-0.015221692818158772,0.271484375,0.256439208984375,0.515625,0.9609375
std_normalization,True,30,-0.00607122292421991,0.2333984375,0.2352752685546875,0.52734375,0.9453125
std_normalization,True,31,-0.011646435552393086,0.2578125,0.2432098388671875,0.60546875,0.96484375
std_normalization,True,32,-0.00310508836992085,0.2119140625,0.23217010498046875,0.65234375,0.9765625
std_normalization,True,33,-0.012952848766872194,0.333984375,0.24643707275390625,0.59375,0.96875
std_normalization,True,34,-0.004817520268261433,0.279296875,0.24138641357421875,0.51953125,0.98046875
std_normalization,True,35,-0.009707483055535704,0.333984375,0.2614707946777344,0.4765625,0.953125
std_normalization,True,36,-0.006684970954665914,0.25,0.2448883056640625,0.4375,0.95703125
std_normalization,True,37,-0.0018035347602562979,0.2412109375,0.23001861572265625,0.61328125,0.94921875
std_normalization,True,38,-0.012617716172826476,0.279296875,0.23432159423828125,0.55078125,0.96875
std_normalization,True,39,-0.009660312760388479,0.291015625,0.22045516967773438,0.625,0.9609375
std_normalization,True,40,-0.012018139532301575,0.25390625,0.24258041381835938,0.515625,0.953125
std_normalization,True,41,-0.0034840582811739296,0.244140625,0.225372314453125,0.58984375,0.9765625
std_normalization,True,42,-0.008289283112389967,0.294921875,0.25420379638671875,0.48046875,0.96875
std_normalization,True,43,-0.0075661930604837835,0.353515625,0.19887542724609375,0.640625,0.97265625
std_normalization,True,44,-0.012148351175710559,0.328125,0.2551460266113281,0.55859375,0.9921875
std_normalization,True,45,-0.008893121666915249,0.341796875,0.23760223388671875,0.5,0.94921875
std_normalization,True,46,-0.0008988971458165906,0.275390625,0.2516937255859375,0.49609375,0.95703125
std_normalization,True,47,-0.00677575750160031,0.298828125,0.22790145874023438,0.609375,0.98828125
std_normalization,True,48,-0.0018233998416690156,0.228515625,0.21498870849609375,0.54296875,0.96484375
std_normalization,True,49,-0.005452397061162628,0.306640625,0.221435546875,0.5,0.96875
std_normalization,True,50,-0.0026190065836999565,0.2158203125,0.2111358642578125,0.67578125,0.953125
std_normalization,True,51,-0.007632043867488392,0.31640625,0.21088409423828125,0.6796875,0.94921875
std_normalization,True,52,-0.012449535744963214,0.2333984375,0.20041275024414062,0.69921875,0.94140625
std_normalization,True,53,-0.00010292920342180878,0.255859375,0.17885971069335938,0.70703125,0.953125
std_normalization,True,54,-0.0038747959333704785,0.2158203125,0.22728919982910156,0.59375,0.96875
std_normalization,True,55,-0.00314441483351402,0.30078125,0.20055389404296875,0.71875,0.96875
std_normalization,True,56,0.0010815249697770923,0.25390625,0.2132720947265625,0.5703125,0.9140625
std_normalization,True,57,-0.016412742348620668,0.341796875,0.21518325805664062,0.65234375,0.97265625
std_normalization,True,58,-0.010240445677482057,0.232421875,0.22369384765625,0.59765625,0.92578125
std_normalization,True,59,-0.0016167569701792672,0.2275390625,0.201934814453125,0.64453125,0.94921875
std_normalization,True,60,-0.013992255888297223,0.248046875,0.24172210693359375,0.4609375,0.92578125
std_normalization,True,61,-0.009170918667223305,0.2314453125,0.19975662231445312,0.72265625,0.96875
std_normalization,True,62,-0.015004424683866091,0.251953125,0.21650123596191406,0.65234375,0.9453125
std_normalization,True,63,-0.012890107216662727,0.2451171875,0.2204437255859375,0.6953125,0.98828125
std_normalization,True,64,-0.001725252572214231,0.251953125,0.2451019287109375,0.55859375,0.921875
std_normalization,True,65,0.0029224710451671854,0.185546875,0.23001861572265625,0.6484375,0.95703125
std_normalization,True,66,-0.009186322924506385,0.1650390625,0.20988845825195312,0.71875,0.9609375
std_normalization,True,67,-0.006347982205625158,0.205078125,0.22985076904296875,0.53515625,0.91796875
std_normalization,True,68,-0.005817785582621582,0.232421875,0.22432327270507812,0.640625,0.953125
std_normalization,True,69,-0.01157342633814551,0.2373046875,0.169403076171875,0.74609375,0.9609375
std_normalization,True,70,-0.012773435671988409,0.294921875,0.16827392578125,0.609375,0.91796875
std_normalization,True,71,-0.005442726833280176,0.208984375,0.20082473754882812,0.49609375,0.9296875
std_normalization,True,72,-0.0015803102578502148,0.1748046875,0.15653610229492188,0.71484375,0.93359375
std_normalization,True,73,-0.004781729745445773,0.2109375,0.17319869995117188,0.6640625,0.91015625
std_normalization,True,74,0.000977130446699448,0.2353515625,0.16791152954101562,0.6953125,0.93359375
std_normalization,True,75,0.00034641190723050386,0.2275390625,0.15682220458984375,0.73046875,0.95703125
std_normalization,True,76,-0.003307598817627877,0.2021484375,0.19272232055664062,0.6796875,0.9296875
std_normalization,True,77,-0.01005537535820622,0.2197265625,0.19880294799804688,0.5,0.93359375
std_normalization,True,78,0.000444328150479123,0.2255859375,0.20469284057617188,0.703125,0.93359375
std_normalization,True,79,-0.003262165730120614,0.20703125,0.18862152099609375,0.63671875,0.9375
std_normalization,True,80,-0.0005040631804149598,0.2001953125,0.20942306518554688,0.7109375,0.97265625
std_normalization,True,81,-0.0015026640321593732,0.2265625,0.19878768920898438,0.6796875,0.921875
std_normalization,True,82,-0.0018471392104402184,0.162109375,0.20262527465820312,0.69921875,0.92578125
std_normalization,True,83,0.0023572826030431315,0.177734375,0.18845367431640625,0.7421875,0.91796875
std_normalization,True,84,-0.00013674775982508436,0.23046875,0.23541259765625,0.515625,0.9375
std_normalization,True,85,-0.0015020371720311232,0.2138671875,0.19759368896484375,0.64453125,0.9609375
std_normalization,True,86,-0.00447126105427742,0.2177734375,0.21026229858398438,0.6953125,0.96875
std_normalization,True,87,-0.004489927290705964,0.2255859375,0.20740127563476562,0.71484375,0.953125
std_normalization,True,88,-0.0016243155987467617,0.2138671875,0.2523460388183594,0.66015625,0.9453125
std_normalization,True,89,-0.007628853731148411,0.216796875,0.214263916015625,0.70703125,0.96484375
std_normalization,True,90,-0.011856961471494287,0.2216796875,0.21063613891601562,0.77734375,0.97265625
std_normalization,True,91,-0.0027242891083005816,0.2060546875,0.2328948974609375,0.58203125,0.9453125
std_normalization,True,92,-0.01034240986336954,0.2294921875,0.2593231201171875,0.47265625,0.94921875
std_normalization,True,93,-0.0047442468130611815,0.26171875,0.21923446655273438,0.71875,0.9609375
std_normalization,True,94,-0.005452063152915798,0.251953125,0.23307037353515625,0.70703125,0.97265625
std_normalization,True,95,-0.012294504667806905,0.267578125,0.23870086669921875,0.66796875,0.92578125
std_normalization,True,96,-0.0031505507140536793,0.1884765625,0.2242584228515625,0.70703125,0.93359375
std_normalization,True,97,-0.008293921186123043,0.23046875,0.2715301513671875,0.6171875,0.91015625
std_normalization,True,98,-0.0009133287967415527,0.2333984375,0.23379898071289062,0.63671875,0.89453125
std_normalization,True,99,-0.003960618028941099,0.28515625,0.23379898071289062,0.58984375,0.9375
std_normalization,True,100,0.003532359507516958,0.2451171875,0.234161376953125,0.66796875,0.87109375
std_normalization,True,101,-0.007293275142728817,0.220703125,0.23060226440429688,0.55078125,0.85546875
std_normalization,True,102,-0.0028326973479124717,0.2392578125,0.2507133483886719,0.671875,0.890625
std_normalization,True,103,-0.0017948206514120102,0.17578125,0.2050933837890625,0.71875,0.95703125
std_normalization,True,104,-0.007488685034331866,0.240234375,0.21148109436035156,0.71484375,0.89453125
std_normalization,True,105,0.001307216938585043,0.21484375,0.19662857055664062,0.70703125,0.890625
std_normalization,True,106,-0.004462231503566727,0.28515625,0.21757125854492188,0.65234375,0.9140625
std_normalization,True,107,5.1687718951143324e-05,0.2060546875,0.2104949951171875,0.66796875,0.9140625
std_normalization,True,108,0.0017597978658159263,0.21484375,0.24557876586914062,0.64453125,0.88671875
std_normalization,True,109,-0.0046409418355324306,0.1552734375,0.22391891479492188,0.51953125,0.87109375
std_normalization,True,110,-0.0012530086241895333,0.2490234375,0.2501220703125,0.67578125,0.91015625
std_normalization,True,111,0.004152324407186825,0.2001953125,0.225799560546875,0.4609375,0.87109375
std_normalization,True,112,-0.0020219850339344703,0.23046875,0.2136707305908203,0.66015625,0.8984375
std_normalization,True,113,-0.009721392751089297,0.2353515625,0.20145034790039062,0.67578125,0.953125
std_normalization,True,114,-0.006985791158513166,0.2265625,0.20761489868164062,0.62109375,0.93359375
std_normalization,True,115,-0.0061017806438030675,0.2060546875,0.21412277221679688,0.703125,0.8984375
std_normalization,True,116,-0.007830371643649414,0.345703125,0.22839736938476562,0.59375,0.87109375
std_normalization,True,117,0.0022911399573786184,0.302734375,0.19707489013671875,0.7109375,0.9140625
std_normalization,True,118,0.0017365255916956812,0.240234375,0.16756820678710938,0.66015625,0.90625
std_normalization,True,119,-0.0003019975411007181,0.296875,0.16416549682617188,0.70703125,0.90234375
std_normalization,True,120,-0.0015617587050655857,0.37109375,0.19408416748046875,0.53125,0.8828125
std_normalization,True,121,-0.004206554142001551,0.265625,0.1604022979736328,0.64453125,0.88671875
std_normalization,True,122,0.0022089967314968817,0.30078125,0.15850448608398438,0.43359375,0.828125
std_normalization,True,123,-0.0010722278821049258,0.306640625,0.1619243621826172,0.71484375,0.91015625
std_normalization,True,124,-0.014563965181878302,0.50390625,0.14464187622070312,0.78515625,0.93359375
std_normalization,True,125,-0.0018055245745927095,0.515625,0.17691993713378906,0.640625,0.91796875
std_normalization,True,126,-0.0032893314310058486,0.328125,0.17150306701660156,0.6796875,0.8828125
std_normalization,True,127,-0.006651775169302709,0.330078125,0.18218421936035156,0.6875,0.8984375
std_normalization,True,128,0.0014714900171384215,0.51171875,0.17591094970703125,0.7109375,0.8984375
std_normalization,True,129,-0.014363681788381655,0.357421875,0.17185020446777344,0.69921875,0.94140625
std_normalization,True,130,-0.007526174769736826,0.2890625,0.1591167449951172,0.7109375,0.91796875
std_normalization,True,131,0.0037652562095900066,0.49609375,0.1821460723876953,0.64453125,0.8828125
std_normalization,True,132,0.00145230795169482,0.421875,0.1665973663330078,0.640625,0.87109375
