run,use_std_normalization,loss_normalization,learning_rate,status,best_answer_accuracy,best_step,final_answer_accuracy,final_step,final_format_accuracy,final_rollout_answer_accuracy,final_rollout_format_accuracy,final_rollout_avg_response_token_length,final_token_entropy,final_grad_norm
std_normalization,True,masked_mean,4e-05,completed,0.744140625,75,0.7001953125,200,0.876953125,0.6484375,0.7421875,393.625,0.05519247055053711,1.0234375
no_std_normalization,False,masked_mean,4e-05,completed,0.80078125,95,0.7763671875,200,0.9697265625,0.69921875,0.91015625,332.65234375,0.043761253356933594,32.0
