run,use_std_normalization,grpo_step,rollout_answer_accuracy,rollout_format_accuracy,avg_response_token_length
std_normalization,True,116,0.64453125,0.8671875,484.24609375
std_normalization,True,117,0.7890625,0.9296875,380.390625
std_normalization,True,118,0.71875,0.91015625,401.90234375
std_normalization,True,119,0.77734375,0.9296875,433.203125
std_normalization,True,120,0.6015625,0.921875,452.65625
std_normalization,True,121,0.7421875,0.859375,469.6875
std_normalization,True,122,0.5234375,0.859375,593.3203125
std_normalization,True,123,0.66796875,0.82421875,531.3515625
std_normalization,True,124,0.8984375,0.96875,409.3515625
std_normalization,True,125,0.75,0.89453125,499.109375
std_normalization,True,126,0.80078125,0.91796875,483.12890625
std_normalization,True,127,0.703125,0.8828125,494.796875
std_normalization,True,128,0.73046875,0.8671875,538.828125
std_normalization,True,129,0.7421875,0.90234375,507.171875
std_normalization,True,130,0.75390625,0.890625,450.49609375
std_normalization,True,131,0.69921875,0.859375,482.03515625
std_normalization,True,132,0.78125,0.921875,470.50390625
std_normalization,True,133,0.76953125,0.953125,487.6875
std_normalization,True,134,0.73046875,0.94140625,511.60546875
std_normalization,True,135,0.77734375,0.90625,475.703125
std_normalization,True,136,0.796875,0.90234375,486.04296875
std_normalization,True,137,0.7421875,0.92578125,456.2109375
std_normalization,True,138,0.83984375,0.921875,462.91796875
std_normalization,True,139,0.7890625,0.94921875,445.96484375
std_normalization,True,140,0.59765625,0.82421875,569.76953125
std_normalization,True,141,0.7734375,0.8828125,495.515625
std_normalization,True,142,0.7578125,0.890625,506.51953125
std_normalization,True,143,0.8203125,0.88671875,469.78515625
std_normalization,True,144,0.68359375,0.86328125,538.80078125
std_normalization,True,145,0.7265625,0.92578125,489.30859375
std_normalization,True,146,0.70703125,0.87890625,480.0
std_normalization,True,147,0.6640625,0.84765625,480.0625
std_normalization,True,148,0.765625,0.90234375,520.171875
std_normalization,True,149,0.66796875,0.84765625,531.17578125
std_normalization,True,150,0.703125,0.90625,509.2734375
std_normalization,True,151,0.734375,0.953125,517.8828125
std_normalization,True,152,0.72265625,0.90234375,522.3828125
std_normalization,True,153,0.8359375,0.94921875,453.203125
std_normalization,True,154,0.80078125,0.91015625,494.453125
std_normalization,True,155,0.7109375,0.9140625,465.3828125
std_normalization,True,156,0.86328125,0.96875,444.3671875
std_normalization,True,157,0.6171875,0.828125,591.89453125
std_normalization,True,158,0.8046875,0.9609375,464.1328125
std_normalization,True,159,0.65625,0.87890625,567.16796875
std_normalization,True,160,0.58984375,0.8515625,583.4453125
std_normalization,True,161,0.77734375,0.8984375,546.20703125
std_normalization,True,162,0.83203125,0.96484375,429.640625
std_normalization,True,163,0.8046875,0.90234375,456.0859375
std_normalization,True,164,0.66015625,0.84375,518.44921875
std_normalization,True,165,0.6796875,0.94921875,444.60546875
std_normalization,True,166,0.7734375,0.94921875,453.25
std_normalization,True,167,0.75390625,0.91015625,476.8046875
std_normalization,True,168,0.765625,0.96484375,410.796875
std_normalization,True,169,0.8203125,0.96875,435.4453125
std_normalization,True,170,0.734375,0.94921875,438.78125
std_normalization,True,171,0.84765625,0.98046875,421.5625
std_normalization,True,172,0.8671875,0.984375,397.37890625
std_normalization,True,173,0.70703125,0.95703125,452.3125
std_normalization,True,174,0.7421875,0.92578125,472.69140625
std_normalization,True,175,0.69921875,0.91015625,457.84765625
std_normalization,True,176,0.73828125,0.93359375,432.6640625
std_normalization,True,177,0.6640625,0.89453125,473.00390625
std_normalization,True,178,0.7265625,0.91796875,471.5390625
std_normalization,True,179,0.77734375,0.97265625,403.5546875
std_normalization,True,180,0.7890625,0.95703125,462.25390625
std_normalization,True,181,0.69140625,0.8984375,479.9375
std_normalization,True,182,0.796875,0.9453125,423.66796875
std_normalization,True,183,0.86328125,0.96875,423.71484375
std_normalization,True,184,0.7890625,0.92578125,433.875
std_normalization,True,185,0.89453125,0.9921875,395.671875
std_normalization,True,186,0.8125,0.92578125,470.3984375
std_normalization,True,187,0.90234375,0.984375,404.7421875
std_normalization,True,188,0.75390625,0.93359375,460.70703125
std_normalization,True,189,0.78125,0.9296875,492.44921875
std_normalization,True,190,0.77734375,0.92578125,506.0859375
std_normalization,True,191,0.81640625,0.9609375,471.58203125
std_normalization,True,192,0.90234375,0.97265625,396.44921875
std_normalization,True,193,0.828125,0.98828125,414.40625
std_normalization,True,194,0.74609375,0.87890625,460.0546875
std_normalization,True,195,0.69140625,0.9140625,530.81640625
std_normalization,True,196,0.6328125,0.859375,575.1796875
std_normalization,True,197,0.77734375,0.91015625,447.91015625
std_normalization,True,198,0.72265625,0.91796875,488.75390625
std_normalization,True,199,0.6640625,0.875,529.125
std_normalization,True,200,0.80859375,0.94140625,466.91796875
no_std_normalization,False,1,0.015625,0.1796875,304.609375
no_std_normalization,False,2,0.21484375,0.7734375,137.23828125
no_std_normalization,False,3,0.33203125,0.78125,170.23828125
no_std_normalization,False,4,0.265625,0.70703125,264.84375
no_std_normalization,False,5,0.23828125,0.71875,256.71875
no_std_normalization,False,6,0.20703125,0.76171875,285.8828125
no_std_normalization,False,7,0.28515625,0.82421875,226.83984375
no_std_normalization,False,8,0.3203125,0.86328125,221.5703125
no_std_normalization,False,9,0.3515625,0.83984375,249.42578125
no_std_normalization,False,10,0.35546875,0.8203125,263.125
no_std_normalization,False,11,0.33984375,0.8203125,290.61328125
no_std_normalization,False,12,0.43359375,0.80859375,280.48046875
no_std_normalization,False,13,0.46875,0.8203125,271.21484375
no_std_normalization,False,14,0.46875,0.7734375,299.64453125
no_std_normalization,False,15,0.359375,0.7421875,346.08984375
no_std_normalization,False,16,0.3984375,0.78125,339.83203125
no_std_normalization,False,17,0.4453125,0.828125,327.92578125
no_std_normalization,False,18,0.41796875,0.83203125,322.0390625
no_std_normalization,False,19,0.5703125,0.86328125,327.08984375
no_std_normalization,False,20,0.48828125,0.87109375,326.140625
no_std_normalization,False,21,0.48828125,0.875,306.53125
no_std_normalization,False,22,0.51171875,0.83984375,350.171875
no_std_normalization,False,23,0.5546875,0.91015625,303.640625
no_std_normalization,False,24,0.5234375,0.921875,298.2734375
no_std_normalization,False,25,0.59765625,0.94140625,242.51171875
no_std_normalization,False,26,0.58203125,0.92578125,283.90625
no_std_normalization,False,27,0.6484375,0.94921875,265.65234375
no_std_normalization,False,28,0.62109375,0.96484375,285.42578125
no_std_normalization,False,29,0.5546875,0.96484375,317.88671875
no_std_normalization,False,30,0.609375,0.9375,313.98828125
no_std_normalization,False,31,0.625,0.93359375,295.02734375
no_std_normalization,False,32,0.6875,0.95703125,268.35546875
no_std_normalization,False,33,0.63671875,0.9609375,239.69140625
no_std_normalization,False,34,0.58984375,0.95703125,312.21875
no_std_normalization,False,35,0.5546875,0.9453125,318.6171875
no_std_normalization,False,36,0.49609375,0.96875,308.390625
no_std_normalization,False,37,0.65625,0.94140625,297.81640625
no_std_normalization,False,38,0.63671875,0.97265625,290.40234375
no_std_normalization,False,39,0.7578125,0.97265625,275.8125
no_std_normalization,False,40,0.6015625,0.953125,335.6875
no_std_normalization,False,41,0.66796875,0.95703125,299.90234375
no_std_normalization,False,42,0.65234375,0.94921875,328.62890625
no_std_normalization,False,43,0.69921875,0.94921875,318.6953125
no_std_normalization,False,44,0.60546875,0.95703125,304.3203125
no_std_normalization,False,45,0.578125,0.921875,343.98046875
no_std_normalization,False,46,0.55859375,0.9453125,343.37890625
no_std_normalization,False,47,0.71875,0.96484375,276.90625
no_std_normalization,False,48,0.64453125,0.89453125,397.51171875
no_std_normalization,False,49,0.63671875,0.94140625,358.9609375
no_std_normalization,False,50,0.72265625,0.94921875,299.9609375
no_std_normalization,False,51,0.73046875,0.9296875,343.98828125
no_std_normalization,False,52,0.76953125,0.94140625,328.203125
no_std_normalization,False,53,0.7578125,0.90625,357.76171875
no_std_normalization,False,54,0.58203125,0.9453125,323.46875
no_std_normalization,False,55,0.79296875,0.97265625,327.20703125
no_std_normalization,False,56,0.66796875,0.89453125,379.6484375
no_std_normalization,False,57,0.75390625,0.9765625,276.48046875
no_std_normalization,False,58,0.703125,0.9296875,358.44921875
no_std_normalization,False,59,0.7734375,0.9765625,355.9375
no_std_normalization,False,60,0.53125,0.93359375,388.0625
no_std_normalization,False,61,0.80859375,0.96875,347.2890625
no_std_normalization,False,62,0.75390625,0.97265625,355.6796875
no_std_normalization,False,63,0.76171875,0.9609375,325.1015625
no_std_normalization,False,64,0.5859375,0.89453125,392.35546875
no_std_normalization,False,65,0.7578125,0.9609375,354.55078125
no_std_normalization,False,66,0.76953125,0.9609375,347.359375
no_std_normalization,False,67,0.62890625,0.89453125,417.44140625
no_std_normalization,False,68,0.68359375,0.96875,364.03125
