run,use_std_normalization,loss_normalization,learning_rate,status,best_answer_accuracy,best_step,final_answer_accuracy,final_step,final_format_accuracy,final_rollout_answer_accuracy,final_rollout_format_accuracy,final_rollout_avg_response_token_length,final_token_entropy,final_grad_norm
std_normalization,True,masked_mean,4e-05,completed,0.8818359375,190,0.8818359375,200,0.98046875,0.80859375,0.94140625,466.91796875,0.023288726806640625,0.1357421875
no_std_normalization,False,masked_mean,4e-05,completed,0.8720703125,200,0.8720703125,200,0.9765625,0.79296875,0.94140625,453.08984375,0.030534744262695312,0.05419921875
