run,grpo_step,optimizer_step,loss,grad_norm,token_entropy,reference_kl,kl_penalty,train_answer_accuracy,train_format_accuracy
grpo_sft256_step100_kl0p01_190,1,1,-0.11559365433961988,0.65234375,0.44005584716796875,9.349547326564789e-06,9.260838851332664e-08,0.41015625,0.875
grpo_sft256_step100_kl0p01_190,2,2,-0.05081907398792396,0.8515625,0.1847076416015625,0.010014891624450684,0.00010011250560637563,0.65234375,0.96875
grpo_sft256_step100_kl0p01_190,3,3,-0.0174373772193519,0.97265625,0.17758560180664062,0.03148195147514343,0.00031522149220108986,0.5703125,0.984375
grpo_sft256_step100_kl0p01_190,4,4,-0.006044642796695143,1.046875,0.15537643432617188,0.04375958442687988,0.0004374943673610687,0.4609375,0.96484375
grpo_sft256_step100_kl0p01_190,5,5,-0.013255256541697236,0.88671875,0.158447265625,0.053133487701416016,0.0005314908921718597,0.47265625,0.984375
grpo_sft256_step100_kl0p01_190,6,6,0.0007193035091859201,0.921875,0.19110107421875,0.0634913444519043,0.0006349906325340271,0.33203125,0.96484375
grpo_sft256_step100_kl0p01_190,7,7,-0.0026118299010704504,0.83984375,0.15143394470214844,0.0740731954574585,0.0007405579090118408,0.515625,0.98828125
grpo_sft256_step100_kl0p01_190,8,8,-0.010120719572853432,1.0234375,0.15116596221923828,0.07849287986755371,0.0007851216942071915,0.45703125,0.98828125
grpo_sft256_step100_kl0p01_190,9,9,-0.002191001226606204,0.83203125,0.14417076110839844,0.08003091812133789,0.0008002817630767822,0.45703125,0.9921875
grpo_sft256_step100_kl0p01_190,10,10,-0.00829535893853972,0.921875,0.16563796997070312,0.07818317413330078,0.0007818527519702911,0.453125,0.96484375
grpo_sft256_step100_kl0p01_190,11,11,0.0033107447086422326,0.7578125,0.14403724670410156,0.07972168922424316,0.0007972009479999542,0.41015625,0.96875
grpo_sft256_step100_kl0p01_190,12,12,-0.0017275867128887512,0.65234375,0.1244049072265625,0.06795549392700195,0.0006795711815357208,0.609375,0.98828125
grpo_sft256_step100_kl0p01_190,13,13,-0.01795050901569084,0.90234375,0.1448516845703125,0.07769966125488281,0.0007767109200358391,0.48828125,0.984375
grpo_sft256_step100_kl0p01_190,14,14,-0.0029821736777648766,0.69921875,0.14191818237304688,0.08376216888427734,0.0008375011384487152,0.5078125,0.96484375
grpo_sft256_step100_kl0p01_190,15,15,-0.005724949405816915,0.64453125,0.17247772216796875,0.08819007873535156,0.0008823424577713013,0.359375,0.953125
grpo_sft256_step100_kl0p01_190,16,16,-0.012384867406865396,0.77734375,0.1376171112060547,0.07438135147094727,0.0007437020540237427,0.4375,0.98046875
grpo_sft256_step100_kl0p01_190,17,17,-0.0025042769011633936,0.69140625,0.14728164672851562,0.09205818176269531,0.0009207651019096375,0.39453125,0.95703125
grpo_sft256_step100_kl0p01_190,18,18,-0.011043508813145309,0.8125,0.16353225708007812,0.09482085704803467,0.0009481157176196575,0.40234375,0.96484375
grpo_sft256_step100_kl0p01_190,19,19,-0.0037082716239638103,0.7265625,0.12668609619140625,0.08282732963562012,0.0008285995572805405,0.578125,0.96484375
grpo_sft256_step100_kl0p01_190,20,20,0.00020399397703840805,0.71484375,0.1479816436767578,0.095001220703125,0.0009506195783615112,0.42578125,0.96484375
grpo_sft256_step100_kl0p01_190,21,21,-0.005324899314018694,0.7734375,0.14443397521972656,0.1005859375,0.0010057836771011353,0.4375,0.97265625
grpo_sft256_step100_kl0p01_190,22,22,0.00494876687866963,0.80859375,0.14597129821777344,0.10127830505371094,0.0010126084089279175,0.484375,0.95703125
grpo_sft256_step100_kl0p01_190,23,23,-0.0055333982395495696,0.73828125,0.13880538940429688,0.0978240966796875,0.0009783580899238586,0.515625,0.98046875
grpo_sft256_step100_kl0p01_190,24,24,-0.006417920046033032,0.76171875,0.13871383666992188,0.09916305541992188,0.0009915754199028015,0.47265625,0.984375
grpo_sft256_step100_kl0p01_190,25,25,-0.00917984858165255,0.76171875,0.12982177734375,0.10037994384765625,0.0010044798254966736,0.49609375,0.9921875
grpo_sft256_step100_kl0p01_190,26,26,-0.0018421142086708642,0.55859375,0.14094161987304688,0.10228347778320312,0.0010231956839561462,0.45703125,0.98046875
grpo_sft256_step100_kl0p01_190,27,27,-0.00028625117590763693,0.75,0.12473392486572266,0.09833335876464844,0.0009833797812461853,0.5625,0.984375
grpo_sft256_step100_kl0p01_190,28,28,-0.005129629704697436,0.578125,0.11438846588134766,0.08982515335083008,0.0008992217481136322,0.55078125,0.97265625
grpo_sft256_step100_kl0p01_190,29,29,-0.001222651123725882,0.73046875,0.13608169555664062,0.10517406463623047,0.0010519102215766907,0.4765625,0.98046875
grpo_sft256_step100_kl0p01_190,30,30,-0.002110401218487823,0.51953125,0.11792230606079102,0.08650684356689453,0.0008653588593006134,0.47265625,0.96484375
grpo_sft256_step100_kl0p01_190,31,31,-0.00025080080376937985,0.6171875,0.11580085754394531,0.09450149536132812,0.0009450539946556091,0.56640625,0.98046875
grpo_sft256_step100_kl0p01_190,32,32,-0.00011400387006688106,0.4921875,0.1255779266357422,0.11089038848876953,0.001109108328819275,0.56640625,0.9921875
grpo_sft256_step100_kl0p01_190,33,33,-0.0025469389361205685,0.71484375,0.15223121643066406,0.12529754638671875,0.001253027468919754,0.5078125,0.99609375
grpo_sft256_step100_kl0p01_190,34,34,-0.005897743565128621,0.62109375,0.13615989685058594,0.11026382446289062,0.0011028796434402466,0.546875,0.96484375
grpo_sft256_step100_kl0p01_190,35,35,-0.0016402124670094054,0.71875,0.1509113311767578,0.12334251403808594,0.0012330859899520874,0.39453125,0.953125
grpo_sft256_step100_kl0p01_190,36,36,-0.0036415317490536836,0.8359375,0.1546764373779297,0.11046218872070312,0.0011044889688491821,0.41015625,0.9609375
grpo_sft256_step100_kl0p01_190,37,37,-0.0053385521887321374,0.625,0.12394523620605469,0.1305980682373047,0.0013057738542556763,0.52734375,0.96875
grpo_sft256_step100_kl0p01_190,38,38,0.005063375236431966,0.75390625,0.14043426513671875,0.117156982421875,0.001171611249446869,0.515625,0.953125
